storage_code,dna_extraction,storage_location,unique_ID,bombus_species,leg_or_swab,sex,floral_host,latitude_utm,longitude_utm,elevation,state,county,date_collected,temperature,wind_speed,cloud_cover,site_name,collector,notes,
v1 swab,,box 1,mlb-stpaul-11jun21-vagans-01-swab,vagans,swab,female,"Lamiaceae ""White Nancy""",44.992131,-93.1784,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,mlb,training,
,,box 1,srd-stpaul-11jun21-bimaculatus-01-swab,bimaculatus,swab,female,"Lamiaceae ""White Nancy""",44.991131,-93.1774,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,srd,training,
,,box 1,srd-stpaul-11jun21-bimaculatus-02-swab,bimaculatus,swab,female,"Lamiaceae ""White Nancy""",44.991131,-93.1814,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,srd,training,
,,box 1,srd-stpaul-11jun21-bimaculatus-03-swab,bimaculatus,swab,female,"Lamiaceae ""White Nancy""",44.991131,-93.1774,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,srd,training,
,,box 1,srd-stpaul-11jun21-bimaculatus-04-swab,bimaculatus,swab,female,"Lamiaceae ""White Nancy""",44.989131,-93.1774,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,srd,training,
,,box 1,mlb-stpaul-11jun21-bimaculatus-05-leg,bimaculatus,leg,female,"Lamiaceae ""White Nancy""",44.993131,-93.1814,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,mlb,training,
,,box 1,srd-stpaul-11jun21-vagans-02-leg,vagans,leg,female,"Lamiaceae ""White Nancy""",44.992131,-93.1774,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,srd,training,
,,box 1,srd-stpaul-11jun21-bimaculatus-06-leg,bimaculatus,leg,female,"Lamiaceae ""White Nancy""",44.991131,-93.1784,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,srd,training,
n/a,,n/a,srd-stpaul-11jun21-bimaculatus-07-leg,bimaculatus,leg,female,"Lamiaceae ""White Nancy""",44.991131,-93.1794,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,srd,"leg was missing from eppendorf tube, so MLB threw it away",
,,box 1,srd-stpaul-11jun21-bimaculatus-08-leg,bimaculatus,leg,female,"Lamiaceae ""White Nancy""",44.991131,-93.1774,294,minnesota,ramsey,11/6/21,91,16,90,stpaulcampus,srd,training,
,,,srd-troutbrook-15jun21-impatiens-01-swab,impatiens,swab,female,lythrum salicaria,44.979897,-93.09024,,minnesota,ramsey,15-06-21,75,6,10,troutbrook,srd,,
