samples_not_received,sample_tube_id_with_description,leg_1_or_zero,whole_body_1_or_zero,male_m_female_f_unk,latitude,longitude,state,time_hrs,county,caught_dd_mmm_yyyy,site_description_name,shipper,institution,pi,us_fish_wild_life_permit_number,receival_date_with_name,box_id,freezer,orientation,temp,shelf_location,extraction_dd_mmm_yyyy,exttra_body_parts,year,id2,caste,nest,floral_host,notes,attached
NA,mlb-ameslake-26jun21-affinis-01-leg,Leg,0,female,44.97425,-93.041424,minnesota,NA,ramsey,2021-06-25T00:00:00Z,ames lake,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,thalictrum,NA,attached
NA,mlb-nova-04jul21-affinis-01-leg,Leg,0,female,44.91888,-93.134072,minnesota,NA,ramsey,2021-07-04T00:00:00Z,nova,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,sorbaria sorbifolia,NA,attached
NA,mlb-nova-04jul21-affinis-02-leg,Leg,0,female,44.91888,-93.134072,minnesota,NA,ramsey,2021-07-04T00:00:00Z,nova,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,sorbaria sorbifolia,NA,attached
NA,mlb-nova-04jul21-affinis-03-leg,Leg,0,female,44.91888,-93.134072,minnesota,NA,ramsey,2021-07-04T00:00:00Z,nova,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,sorbaria sorbifolia,NA,attached
NA,mlb-nova-04jul21-affinis-04-leg,Leg,0,female,44.91888,-93.134072,minnesota,NA,ramsey,2021-07-04T00:00:00Z,nova,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,sorbaria sorbifolia,NA,attached
NA,mlb-nova-04jul21-affinis-05-leg,Leg,0,female,44.91888,-93.134072,minnesota,NA,ramsey,2021-07-04T00:00:00Z,nova,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,sorbaria sorbifolia,NA,attached
NA,mlb-nova-04jul21-affinis-07-leg,Leg,0,female,44.91888,-93.134072,minnesota,NA,ramsey,2021-07-04T00:00:00Z,nova,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,sorbaria sorbifolia,NA,attached
NA,mlb-nova-04jul21-affinis-08-leg,Leg,0,female,44.91888,-93.134072,minnesota,NA,ramsey,2021-07-04T00:00:00Z,nova,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,sorbaria sorbifolia,NA,attached
NA,mlb-hamline-14july21-affinis-01-leg,Leg,0,female,44.966626,-93.164547,minnesota,NA,ramsey,2021-07-14T00:00:00Z,hamline,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,astilbe,NA,attached
NA,mlb-hamline-14july21-affinis-02-leg,Leg,0,female,44.966626,-93.164547,minnesota,NA,ramsey,2021-07-14T00:00:00Z,hamline,Michelle Boone,Not provided,Mark Hepner,ES61005D,9/13/2021 - Tien,Boone / Hepner Aff_003,1,Far front right,-80,Bottom,NA,NA,2021,NA,NA,NA,astilbe,NA,attached
